timestamp,equity
2026-08-31T13:50:19.713763-04:00,2000.0
2026-08-31T15:26:09.949854-04:00,2000.0
2026-09-01T15:57:40.132573-04:00,2000.0
2026-09-02T13:03:23.300128-04:00,2000.0
2026-09-02T15:48:12.961505-04:00,2002.63
2026-09-03T12:58:12.992025-04:00,2003.26
2026-09-03T15:42:45.655794-04:00,2003.65
2026-09-04T12:50:47.437277-04:00,1999.54
2026-09-04T15:26:56.447812-04:00,2001.6
2026-09-07T09:31:34.217248-04:00,2000.25
2026-09-07T09:46:40.274550-04:00,2000.25
2026-09-07T10:01:33.282975-04:00,2000.25
2026-09-07T10:16:37.482526-04:00,2000.25
2026-09-07T10:31:40.962423-04:00,2000.25
2026-09-07T10:46:47.100297-04:00,2000.25
2026-09-07T11:01:43.950238-04:00,2000.25
2026-09-07T11:16:33.784292-04:00,2000.25
2026-09-07T11:31:29.751933-04:00,2000.25
2026-09-07T11:46:41.457787-04:00,2000.25
2026-09-07T12:01:41.643742-04:00,2000.25
2026-09-07T12:16:47.509249-04:00,2000.25
2026-09-07T12:31:33.131756-04:00,2000.25
2026-09-07T12:46:33.349474-04:00,2000.25
2026-09-07T13:01:50.028717-04:00,2000.25
2026-09-07T13:16:31.352960-04:00,2000.25
2026-09-07T13:31:37.880279-04:00,2000.25
2026-09-07T13:46:44.502580-04:00,2000.25
2026-09-07T14:01:50.254005-04:00,2000.25
2026-09-07T14:14:24.935655-04:00,2000.25
2026-09-07T14:16:27.047740-04:00,2000.25
2026-09-07T14:31:29.729075-04:00,2000.25
2026-09-07T14:46:31.828506-04:00,2000.25
2026-09-07T15:01:46.265302-04:00,2000.25
2026-09-07T15:16:36.328078-04:00,2000.25
2026-09-07T15:31:45.959975-04:00,2000.25
2026-09-07T15:46:36.388967-04:00,2000.25
2026-09-08T09:31:33.366128-04:00,2000.34
2026-09-08T09:46:37.800705-04:00,1998.45
2026-09-08T10:02:02.237186-04:00,1998.41
2026-09-08T10:16:35.761956-04:00,1998.41
2026-09-08T10:31:48.092488-04:00,1998.41
2026-09-08T10:46:48.554125-04:00,1998.41
2026-09-08T11:02:20.380556-04:00,1998.41
2026-09-08T11:16:35.507856-04:00,1998.41
2026-09-08T11:31:48.576778-04:00,1998.41
2026-09-08T11:46:36.371231-04:00,1998.41
2026-09-08T12:01:48.828685-04:00,1998.41
2026-09-08T12:16:47.765371-04:00,1998.41
2026-09-08T12:32:07.224239-04:00,1998.41
2026-09-08T12:46:38.297052-04:00,1998.41
2026-09-08T13:01:49.123479-04:00,1998.41
2026-09-08T13:14:05.153289-04:00,1998.41
2026-09-08T13:16:41.951299-04:00,1998.41
2026-09-08T13:32:16.804921-04:00,1998.41
2026-09-08T13:46:28.885549-04:00,1998.41
2026-09-08T14:01:50.132196-04:00,1998.41
2026-09-08T14:16:31.680959-04:00,1998.41
2026-09-08T14:31:41.176164-04:00,1998.41
2026-09-08T14:46:31.060608-04:00,1998.41
2026-09-08T15:02:12.417997-04:00,1998.41
2026-09-08T15:16:23.958633-04:00,1998.41
2026-09-08T15:31:46.088728-04:00,1998.41
2026-09-08T15:46:30.393566-04:00,1998.41
2026-09-09T09:31:46.343182-04:00,1998.38
2026-09-09T09:46:34.306471-04:00,1998.38
2026-09-09T10:03:02.062788-04:00,1998.38
2026-09-09T10:16:53.660680-04:00,1998.38
2026-09-09T11:01:32.048991-04:00,1998.38
2026-09-09T11:16:40.690488-04:00,1998.38
2026-09-09T11:31:41.279958-04:00,1998.38
2026-09-09T11:46:53.257273-04:00,1998.38
2026-09-09T12:02:02.196088-04:00,1998.38
2026-09-09T12:16:36.533129-04:00,1998.38
2026-09-09T12:31:40.171337-04:00,1998.38
2026-09-09T12:46:33.479030-04:00,1998.38
2026-09-09T13:01:46.724433-04:00,1998.38
2026-09-09T13:08:35.273706-04:00,1998.38
2026-09-09T13:17:16.806042-04:00,1998.38
2026-09-09T13:32:24.494870-04:00,1998.38
2026-09-09T13:47:15.537912-04:00,1998.38
2026-09-09T14:02:30.782866-04:00,1998.38
2026-09-09T14:17:15.367014-04:00,1998.38
2026-09-09T14:32:14.899313-04:00,1998.38
2026-09-09T14:47:12.203920-04:00,1998.38
2026-09-09T15:02:29.632587-04:00,1998.38
2026-09-09T15:17:12.563967-04:00,1998.38
2026-09-09T15:32:16.008511-04:00,1998.38
2026-09-09T15:47:02.940736-04:00,1998.38
2026-09-10T09:46:58.426197-04:00,1998.38
2026-09-10T10:02:18.974744-04:00,1998.38
2026-09-10T10:16:46.799092-04:00,1998.38
2026-09-10T10:32:02.473576-04:00,1998.38
2026-09-10T10:46:59.261079-04:00,1998.38
2026-09-10T11:02:26.453448-04:00,1998.38
2026-09-10T11:16:56.177517-04:00,1998.38
2026-09-10T11:32:16.268436-04:00,1998.38
2026-09-10T11:46:43.827390-04:00,1998.38
2026-09-10T12:02:14.842264-04:00,1998.38
2026-09-10T12:16:55.673468-04:00,1998.38
2026-09-10T12:32:07.051944-04:00,1998.38
2026-09-10T12:46:44.594834-04:00,1998.38
2026-09-10T12:58:50.091828-04:00,1998.38
2026-09-10T13:03:08.590655-04:00,1998.38
2026-09-10T13:16:52.049086-04:00,1998.38
2026-09-10T13:31:49.474880-04:00,1998.38
2026-09-10T13:46:48.614529-04:00,1998.38
2026-09-10T14:02:18.502454-04:00,1998.38
2026-09-10T15:02:16.081543-04:00,1998.38
2026-09-10T15:17:03.187249-04:00,1998.38
2026-09-10T15:31:54.357831-04:00,1998.38
2026-09-10T15:34:15.750310-04:00,1998.38
2026-09-10T15:46:49.173608-04:00,1998.38
2026-09-11T13:01:32.177142-04:00,1998.38
2026-09-11T15:35:34.618393-04:00,1998.38
2026-09-14T09:31:25.492159-04:00,1998.38
2026-09-14T09:46:37.702798-04:00,1998.38
2026-09-14T10:01:41.418479-04:00,1998.38
2026-09-14T10:16:39.636356-04:00,1998.38
2026-09-14T10:31:35.187303-04:00,1998.38
2026-09-14T10:46:31.154516-04:00,1998.38
2026-09-14T11:02:02.510028-04:00,1998.38
2026-09-14T11:16:34.563973-04:00,1998.38
2026-09-14T11:32:14.488503-04:00,1998.38
2026-09-14T11:46:24.739930-04:00,1998.38
2026-09-14T12:02:02.264585-04:00,1998.38
2026-09-14T12:16:20.014799-04:00,1998.38
2026-09-14T12:29:42.323548-04:00,1998.38
2026-09-14T12:31:34.643238-04:00,1998.38
2026-09-14T12:46:41.057799-04:00,1998.38
2026-09-14T13:01:57.658868-04:00,1998.38
2026-09-14T13:17:25.569442-04:00,1998.38
2026-09-14T13:31:47.532821-04:00,1998.38
2026-09-14T13:46:33.327525-04:00,1998.38
2026-09-14T14:01:46.432150-04:00,1998.38
2026-09-14T14:16:54.753698-04:00,1998.38
2026-09-14T14:31:59.244247-04:00,1998.38
2026-09-14T14:47:02.057993-04:00,1998.38
2026-09-14T15:02:03.853025-04:00,1998.38
2026-09-14T15:17:08.387278-04:00,1998.38
2026-09-14T15:32:03.891704-04:00,1998.38
2026-09-14T15:47:27.731332-04:00,1998.38
2026-09-15T09:31:58.353017-04:00,1998.38
2026-09-15T09:47:02.443478-04:00,1998.38
2026-09-15T10:01:54.188543-04:00,1998.38
2026-09-15T10:17:48.567339-04:00,1998.38
2026-09-15T10:31:54.445231-04:00,1998.38
2026-09-15T10:46:55.615283-04:00,1998.38
2026-09-15T11:01:51.019051-04:00,1998.38
2026-09-15T11:17:02.346881-04:00,1998.38
2026-09-15T11:31:50.450682-04:00,1998.38
2026-09-15T11:47:01.267806-04:00,1998.38
2026-09-15T12:01:49.322949-04:00,1998.38
2026-09-15T12:17:06.988786-04:00,1998.38
2026-09-15T12:31:54.091594-04:00,1998.38
2026-09-15T12:46:51.848386-04:00,1998.38
2026-09-15T13:02:03.778070-04:00,1998.38
2026-09-15T13:16:59.161600-04:00,1998.38
2026-09-15T13:31:52.795355-04:00,1998.38
2026-09-15T13:39:26.106921-04:00,1998.38
